type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
r,,,Currenterror,Current errors,,,b503,0001,error,,UIN,,,error number,error_1,,UIN,,,error number,error_2,,UIN,,,error number,error_3,,UIN,,,error number,error_4,,UIN,,,error number
r,,,Errorhistory,Error_History,,,b503,0101,index,m,UCH,,,,status,,UCH,,,Status,time,,VTM,,,time,date,,HDA:3,,,date,error,,UIN,,,error number
w,,install,Clearerrorhistory,Clear error history,,,b503,0201,cleared,s,UCH,0=no;1=yes,,


#r,,,JUnknown51,,,,B516,1000ffff01000000,,,HEX:*,,,



r,,,HwcBivalencePoint,,,,B524,020000000100,,,IGN:4,,,,,,EXP,,,Bivalence point hot water heating
r,,,ContinuousHeating,continous heating,,,b524,020000000200,value,,IGN:4,,,,value,,EXP,,°C,"-26=off, when the outside temperature falls below this threshold temperature the continuous heating function is started (off <=> function is disabled)"
w,,,ContinuousHeating,continous heating,,,b524,020100000200,value,,EXP,,°C,"-26=off, when the outside temperature falls below this threshold temperature the continuous heating function is started (off <=> function is disabled)"
r,,,FrostOverRideTime,frost delay time,,,b524,020000000300,value,,IGN:4,,,,value,,UIN,,h,delay before frost protection is activated
w,,,FrostOverRideTime,frost delay time,,,b524,020100000300,value,,UIN,,h,delay before frost protection is activated
r,,,xUnknown04,(constant 0),,,B524,020000000400,,,IGN:4,,,,,,UIN,,,
r,,,GlobalSystemOff,Global System OFF,,,B524,020000000700,,,IGN:4,,,,,,UCH,0=no;1=yes,,For switching system off
w,,,GlobalSystemOff,Global System OFF,,,B524,020100000700,,,UCH,0=no;1=yes,,For switching system off
r,,,xUnknown08,(constant off),,,B524,020000000800,,,IGN:4,,,,,,UCH,0=off;1=on,,
r,,,xUnknown09,"(constant off, on in cooling mode)",,,B524,020000000900,,,IGN:4,,,,,,UCH,0=off;1=on,,
r,,,HwcParallelLoading,hwc parallel loading,,,b524,020000000a00,value,,IGN:4,,,,value,,UCH,0=off;1=on,,heating and hot water parallel
w,,,HwcParallelLoading,hwc parallel loading,,,b524,020100000a00,value,,UCH,0=off;1=on,,heating and hot water parallel
r,,,xUnknown0B,(constant 0),,,B524,020000000B00,,,IGN:4,,,,,,SIN,,,
r,,,MaxRoomHumidity,max room humidity,,,b524,020000000e00,value,,IGN:4,,,,value,,UIN,,,maximum room humidity
w,,,MaxRoomHumidity,max room humidity,,,b524,020100000e00,value,,UIN,,,maximum room humidity
r,,,HybridManager,,,,B524,020000000F00,,,IGN:4,,,,,,UCH,0=Trivalence (tariff based);1=Bivalence (Outside temperature based),,Tri/Bi-valence manager
r,,,TariffAuxHeater,,,,B524,020000001000,,,IGN:4,,,,,,UIN,, ,Secondary heater tariff value

r,,,TariffPrimHeaterLow,,,,B524,020000001100,tariff_type,,UCH,, ,Tariff levels,ignore,,IGN:3,,,,low_tariff,,UIN,,,Primary heater low tariff value


r,,,TariffPrimHeaterNormal,,,,B524,020000001200,,,IGN:4,,,,,,UIN,, ,Primary heater normal tariff value
r,,,xUnknown13,"(constant 0, 2 in cooling mode)",,,B524,020000001300,,,IGN:4,,,,,,UIN,,,
r,,,AdaptHeatCurve,adaptive heat curve,,,b524,020000001400,value,,IGN:4,,,,value,,UCH,0=no;1=yes,,automatic correction of configured heat curve
w,,,AdaptHeatCurve,adaptive heat curve,,,b524,020100001400,value,,UCH,0=no;1=yes,,automatic correction of configured heat curve
r,,,xUnknown15,"(constant 0, on in cooling mode)",,,B524,020000001500,,,IGN:4,,,,,,UCH,0=off;1=on,,
r,,,MaxCylinderChargeTime,maximale Speicherladezeit,,,b524,020000001700,value,,IGN:4,,,,value,,UIN,,min,maximum cylinder charging time
w,,,MaxCylinderChargeTime,maximale Speicherladezeit,,,b524,020100001700,value,,UIN,,min,maximum cylinder charging time
r,,,HwcLockTime,hwc lock time,,,b524,020000001800,value,,IGN:4,,,,value,,UIN,,min,Lock time hot water current
w,,,HwcLockTime,hwc lock time,,,b524,020100001800,value,,UIN,,min,Lock time hot water current
r,,,SolarFlowRateQuantity,,,,B524,020000001900,,,IGN:4,,,,,,EXP,,l/min,preset flow rate solar circuit for solar yield calculation
w,,,SolarFlowRateQuantity,,,,B524,020100001900,,,EXP,,l/min,preset flow rate solar circuit for solar yield calculation
r,,,PumpAdditionalTime,pump additional time,,,b524,020000001b00,value,,IGN:4,,,,value,,UIN,,min,chargepump additional operationtime
w,,,PumpAdditionalTime,pump additional time,,,b524,020100001b00,value,,UIN,,min,chargepump additional operationtime
r,,,xUnknown1C,(constant 80),,,B524,020000001C00,,,IGN:4,,,,,,EXP,,,
r,,,xUnknown1E,(constant on),,,B524,020000001E00,,,IGN:4,,,,,,UCH,0=off;1=on,,
r,,,HcAlternativePoint,,,,B524,020000002200,,,IGN:4,,,,,,EXP,,,exclusively alternate heating below alternative point (-21=off)
w,,,HcAlternativePoint,,,,B524,020100002200,,,EXP,,,exclusively alternate heating below alternative point (-21=off)
r,,,HcBivalencePoint,,,,B524,020000002300,,,IGN:4,,,,,,EXP,,,Bivalence point heating
w,,,HcBivalencePoint,,,,B524,020100002300,,,EXP,,,Bivalence point heating
r,,,BackupBoiler,,,,B524,020000002400,,,IGN:4,,,,,,UCH,0=off;1=heating circuit;2=warm water circuit;3=heating + warm water circuit,,Function of back-up boiler (Off/Hc/Hwc/Hc+Hwc)
w,,,BackupBoiler,,,,B524,020100002400,,,UCH,0=off;1=heating circuit;2=warm water circuit;3=heating + warm water circuit,,Function of back-up boiler (Off/Hc/Hwc/Hc+Hwc)
r,,,xUnknown25,(konstant 0),,,B524,020000002500,,,IGN:4,,,,,,SIN,,,
r,,,HcEmergencyTemperature,,,,B524,020000002600,,,IGN:4,,,,,,EXP,,,Emergency operation temperature
r,,,CylinderChargeHyst,hysteresis cylinder charge,,,b524,020000002700,value,,IGN:4,,,,value,,EXP,,K,hysteris storage tank loading
